ID,Categoría,Control / Pregunta de Assessment,"Calific.
(0-5)","Nivel
Madurez","Peso
Crit.","Contrib.
(D×F)","Madur.
Relat.%","Cumpli.
Binario",Semáforo,"Origen
Pregunta",Evidencias / Guía de respuesta,,
► GV.OC — Organizational Context  |  La organización entiende su entorno para tomar decisiones informadas sobre riesgo cibernético,,,,,,,,,,,,,
GV.OC-01,Org. Context,"¿La misión y objetivos críticos de la organización son conocidos por el equipo de ciberseguridad? ¿Cómo influyen en la decisión de qué proteger primero? (Ej: si su misión es continuidad del servicio financiero, ¿eso se refleja en la priorización de controles?)",0,0-Inexistente,3,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar si existe un documento formal que vincule misión organizacional con activos críticos de seguridad. Evidencia: Política de seguridad alineada con plan estratégico, inventario de activos críticos priorizado por impacto al negocio.",,
GV.OC-02,Org. Context,"¿Las expectativas de clientes, reguladores y socios sobre ciberseguridad están documentadas y se revisan periódicamente? ¿Quién es el responsable de mantener esa lista actualizada?",0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar documentación de requerimientos de partes interesadas. Evidencia: Registro de requerimientos contractuales de ciberseguridad, actas de revisión con stakeholders externos.",,
GV.OC-03,Org. Context,"¿Las obligaciones legales y regulatorias de ciberseguridad (PCI-DSS, Ley 1581 de Datos, ISO 27001, GEL, CNO, Compes, SOX según aplique) están todas identificadas con un responsable asignado y una fecha de cumplimiento?",0,0-Inexistente,3,0,0%,0,✗ CRÍTICO,LOCAL (Col),"Validar matriz de cumplimiento normativo con propietario y estado actual. Evidencia: Matriz de obligaciones legales actualizada, asignación de responsables, seguimiento de cumplimiento.",,
GV.OC-04,Org. Context,"¿Los riesgos críticos de ciberseguridad se comunican a la alta dirección y junta directiva? ¿Con qué frecuencia, en qué formato y qué decisiones toma la junta basada en esos reportes?",0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar reporte ejecutivo de ciberseguridad y minutos de junta donde se discutan riesgos cibernéticos. Evidencia: Presentaciones ejecutivas, actas de junta con agenda de ciberseguridad.",,
GV.OC-05,Org. Context,"¿Cómo se aseguran de que la estrategia de ciberseguridad está alineada con los objetivos del negocio y no opera de forma aislada? ¿Quién facilita esa alineación — el CISO, el CRO, un comité?",0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar si existe comité de ciberseguridad multidisciplinario o mecanismo formal de alineación con negocio. Evidencia: Charter del comité, reuniones periódicas, plan estratégico de seguridad vinculado a objetivos corporativos.",,
"► GV.RM — Risk Management Strategy  |  Las prioridades, restricciones y tolerancias de riesgo están establecidas, comunicadas y usadas para tomar decisiones",,,,,,,,,,,,,
GV.RM-01,Risk Mgmt Strategy,"¿Tienen definido formalmente el apetito de riesgo cibernético? ¿Quién lo aprueba (junta directiva, CEO, CISO)? ¿Con qué frecuencia se revisa y actualiza? ¿Está expresado en términos de negocio (ej: 'aceptamos X horas de downtime en servicio Y')?",0,0-Inexistente,3,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar documento formal de apetito de riesgo, niveles de tolerancia por dominio y evidencia de aprobación ejecutiva. Evidencia: Statement de apetito de riesgo aprobado por Junta, cuantificado en impacto financiero y/u operacional.",,
GV.RM-02,Risk Mgmt Strategy,¿Existe una estrategia documentada de gestión de riesgos que guíe las decisiones de inversión y priorización en seguridad? ¿Cómo se traduce esa estrategia en el presupuesto anual de ciberseguridad?,0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar plan estratégico de gestión de riesgos cibernéticos con vinculación presupuestal. Evidencia: Documento de estrategia de riesgo, presupuesto de ciberseguridad basado en perfil de riesgo.",,
GV.RM-03,Risk Mgmt Strategy,"¿Cómo se toman las decisiones de aceptar, mitigar, transferir o evitar un riesgo cibernético? ¿Hay un proceso formal con criterios claros o es ad hoc dependiendo de quién esté disponible?",0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar procedimiento de tratamiento de riesgos con criterios formales de decisión. Evidencia: Registro de tratamiento de riesgos, decisiones documentadas con justificación por tipo (aceptar/mitigar/transferir/evitar).",,
